,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
62,0 days 01:03:00.074000,29.5,34.0,932.9,False,48.4,283,1.2
64,0 days 01:05:00.079000,29.5,35.0,932.9,False,48.7,292,1.5
65,0 days 01:06:00.072000,29.5,35.0,932.9,False,48.7,115,1.7
66,0 days 01:07:00.066000,29.6,35.0,932.9,False,48.7,113,1.1
67,0 days 01:08:00.101000,29.6,34.0,932.8,False,49.0,288,0.9
68,0 days 01:09:00.097000,29.7,34.0,932.8,False,48.7,43,2.4
70,0 days 01:11:00.135000,29.5,34.0,932.9,False,48.0,10,1.1
71,0 days 01:12:00.145000,29.6,34.0,932.9,False,48.1,119,1.6
72,0 days 01:13:00.140000,29.6,34.0,932.9,False,48.6,100,1.5
73,0 days 01:14:00.143000,29.6,33.0,932.8,False,48.2,1,1.5
74,0 days 01:15:00.141000,29.7,34.0,932.8,False,48.1,14,1.6
76,0 days 01:17:00.136000,29.8,34.0,932.9,False,47.8,353,1.8
77,0 days 01:18:00.167000,29.8,34.0,932.9,False,47.6,194,1.4
78,0 days 01:19:00.147000,29.7,35.0,932.9,False,47.8,41,1.2
80,0 days 01:21:00.153000,29.6,35.0,933.0,False,48.3,318,0.9
81,0 days 01:22:00.145000,29.6,35.0,932.9,False,48.2,271,2.0
82,0 days 01:23:00.153000,29.7,34.0,932.9,False,47.3,208,1.4
83,0 days 01:24:00.168000,29.8,35.0,932.9,False,47.3,58,0.9
84,0 days 01:25:00.151000,29.9,35.0,932.8,False,47.3,73,0.9
85,0 days 01:26:00.148000,30.0,35.0,932.8,False,46.9,326,1.1
87,0 days 01:28:00.147000,30.0,35.0,932.9,False,46.5,324,1.8
88,0 days 01:29:00.160000,30.0,35.0,933.0,False,46.5,280,1.8
89,0 days 01:30:00.154000,29.9,35.0,932.9,False,45.7,354,0.7
90,0 days 01:31:00.158000,29.8,35.0,932.9,False,45.0,283,1.3
91,0 days 01:32:00.161000,29.7,34.0,933.0,False,44.8,355,2.4
93,0 days 01:34:00.149000,29.5,36.0,932.8,False,44.3,343,1.5
94,0 days 01:35:00.160000,29.6,37.0,932.8,False,44.2,81,1.1
95,0 days 01:36:00.162000,29.6,36.0,932.9,False,44.3,91,1.0
96,0 days 01:37:00.167000,29.6,35.0,932.9,False,44.7,119,0.9
97,0 days 01:38:00.200000,29.6,35.0,932.9,False,45.0,274,1.4
99,0 days 01:40:00.182000,29.9,35.0,932.8,False,46.3,339,1.7
100,0 days 01:41:00.192000,30.0,35.0,932.8,False,47.3,284,1.6
101,0 days 01:42:00.215000,30.1,35.0,932.9,False,48.0,319,1.1
102,0 days 01:43:00.266000,30.2,35.0,933.0,False,48.0,46,0.8
103,0 days 01:44:00.234000,30.3,33.0,932.9,False,47.7,303,0.8
105,0 days 01:46:00.222000,30.5,32.0,932.8,False,48.0,306,1.4
106,0 days 01:47:00.225000,30.6,33.0,932.9,False,47.6,307,2.8
107,0 days 01:48:00.231000,30.4,33.0,932.8,False,46.2,244,1.9
109,0 days 01:50:00.231000,30.1,33.0,932.9,False,44.9,281,0.9
110,0 days 01:51:00.242000,30.0,33.0,932.9,False,44.6,199,2.3
111,0 days 01:52:00.235000,29.8,33.0,932.9,False,44.1,155,2.5
112,0 days 01:53:00.250000,29.5,33.0,932.9,False,44.9,60,1.2
113,0 days 01:54:00.264000,29.5,33.0,932.9,False,45.2,316,1.2
114,0 days 01:55:00.268000,29.5,33.0,932.8,False,45.5,82,0.9
116,0 days 01:57:00.269000,29.6,33.0,932.8,False,44.7,336,1.0
117,0 days 01:58:00.269000,29.6,33.0,932.9,False,44.5,177,1.4
118,0 days 01:59:00.287000,29.6,33.0,932.9,False,44.0,310,1.1
119,0 days 02:00:00.301000,29.5,33.0,932.9,False,43.9,282,0.9
120,0 days 02:01:00.297000,29.5,34.0,932.8,False,43.8,284,1.7
122,0 days 02:03:00.307000,29.4,35.0,932.8,False,43.7,168,0.5
123,0 days 02:04:00.303000,29.4,35.0,932.7,False,43.8,159,0.9
124,0 days 02:05:00.309000,29.6,35.0,932.7,False,45.0,139,1.1
125,0 days 02:06:00.303000,29.8,34.0,932.6,False,45.9,128,1.1
126,0 days 02:07:00.310000,29.8,35.0,932.8,False,45.9,312,1.2
128,0 days 02:09:00.305000,30.0,35.0,932.8,False,45.6,146,1.3
129,0 days 02:10:00.307000,30.0,33.0,932.9,False,46.2,99,0.9
130,0 days 02:11:00.305000,30.1,34.0,932.8,False,46.2,336,1.4
131,0 days 02:12:00.316000,30.0,35.0,932.9,False,46.5,321,1.2
132,0 days 02:13:00.306000,30.0,34.0,932.8,False,46.2,214,1.7
134,0 days 02:15:00.311000,29.9,34.0,932.8,False,46.0,257,3.3
135,0 days 02:16:00.314000,29.9,34.0,932.8,False,45.7,292,2.7
136,0 days 02:17:00.308000,29.8,34.0,932.9,False,45.1,274,3.6
137,0 days 02:18:00.317000,29.8,35.0,932.7,False,44.3,149,2.1
139,0 days 02:20:00.314000,29.6,34.0,932.8,False,43.8,248,1.2
55,0 days 00:55:59.997000,28.9,36.0,933.0,False,47.2,3,2.1
56,0 days 00:57:00.001000,28.9,36.0,933.0,False,47.3,268,1.7
58,0 days 00:59:00.019000,29.2,35.0,933.0,False,48.1,359,1.6
59,0 days 01:00:00.043000,29.3,35.0,932.9,False,48.1,120,0.7
60,0 days 01:01:00.046000,29.4,35.0,933.0,False,48.2,110,1.3
61,0 days 01:02:00.057000,29.5,35.0,932.9,False,48.2,31,2.0
62,0 days 01:03:00.074000,29.5,34.0,932.9,False,48.4,283,1.2
64,0 days 01:05:00.079000,29.5,35.0,932.9,False,48.7,292,1.5
65,0 days 01:06:00.072000,29.5,35.0,932.9,False,48.7,115,1.7
66,0 days 01:07:00.066000,29.6,35.0,932.9,False,48.7,113,1.1
67,0 days 01:08:00.101000,29.6,34.0,932.8,False,49.0,288,0.9
68,0 days 01:09:00.097000,29.7,34.0,932.8,False,48.7,43,2.4
70,0 days 01:11:00.135000,29.5,34.0,932.9,False,48.0,10,1.1
71,0 days 01:12:00.145000,29.6,34.0,932.9,False,48.1,119,1.6
72,0 days 01:13:00.140000,29.6,34.0,932.9,False,48.6,100,1.5
73,0 days 01:14:00.143000,29.6,33.0,932.8,False,48.2,1,1.5
74,0 days 01:15:00.141000,29.7,34.0,932.8,False,48.1,14,1.6
76,0 days 01:17:00.136000,29.8,34.0,932.9,False,47.8,353,1.8
77,0 days 01:18:00.167000,29.8,34.0,932.9,False,47.6,194,1.4
78,0 days 01:19:00.147000,29.7,35.0,932.9,False,47.8,41,1.2
79,0 days 01:20:00.151000,29.7,35.0,933.0,False,48.3,0,0.9
81,0 days 01:22:00.145000,29.6,35.0,932.9,False,48.2,271,2.0
82,0 days 01:23:00.153000,29.7,34.0,932.9,False,47.3,208,1.4
83,0 days 01:24:00.168000,29.8,35.0,932.9,False,47.3,58,0.9
84,0 days 01:25:00.151000,29.9,35.0,932.8,False,47.3,73,0.9
85,0 days 01:26:00.148000,30.0,35.0,932.8,False,46.9,326,1.1
87,0 days 01:28:00.147000,30.0,35.0,932.9,False,46.5,324,1.8
88,0 days 01:29:00.160000,30.0,35.0,933.0,False,46.5,280,1.8
89,0 days 01:30:00.154000,29.9,35.0,932.9,False,45.7,354,0.7
91,0 days 01:32:00.161000,29.7,34.0,933.0,False,44.8,355,2.4
92,0 days 01:33:00.162000,29.6,36.0,933.0,False,44.8,319,1.5
93,0 days 01:34:00.149000,29.5,36.0,932.8,False,44.3,343,1.5
94,0 days 01:35:00.160000,29.6,37.0,932.8,False,44.2,81,1.1
95,0 days 01:36:00.162000,29.6,36.0,932.9,False,44.3,91,1.0
97,0 days 01:38:00.200000,29.6,35.0,932.9,False,45.0,274,1.4
98,0 days 01:39:00.194000,29.8,34.0,932.8,False,46.0,331,1.2
99,0 days 01:40:00.182000,29.9,35.0,932.8,False,46.3,339,1.7
100,0 days 01:41:00.192000,30.0,35.0,932.8,False,47.3,284,1.6
101,0 days 01:42:00.215000,30.1,35.0,932.9,False,48.0,319,1.1
103,0 days 01:44:00.234000,30.3,33.0,932.9,False,47.7,303,0.8
104,0 days 01:45:00.230000,30.4,33.0,932.8,False,47.8,321,2.2
105,0 days 01:46:00.222000,30.5,32.0,932.8,False,48.0,306,1.4
106,0 days 01:47:00.225000,30.6,33.0,932.9,False,47.6,307,2.8
107,0 days 01:48:00.231000,30.4,33.0,932.8,False,46.2,244,1.9
109,0 days 01:50:00.231000,30.1,33.0,932.9,False,44.9,281,0.9
110,0 days 01:51:00.242000,30.0,33.0,932.9,False,44.6,199,2.3
111,0 days 01:52:00.235000,29.8,33.0,932.9,False,44.1,155,2.5
112,0 days 01:53:00.250000,29.5,33.0,932.9,False,44.9,60,1.2
113,0 days 01:54:00.264000,29.5,33.0,932.9,False,45.2,316,1.2
115,0 days 01:56:00.271000,29.6,33.0,932.9,False,45.5,227,1.0
116,0 days 01:57:00.269000,29.6,33.0,932.8,False,44.7,336,1.0
117,0 days 01:58:00.269000,29.6,33.0,932.9,False,44.5,177,1.4
119,0 days 02:00:00.301000,29.5,33.0,932.9,False,43.9,282,0.9
120,0 days 02:01:00.297000,29.5,34.0,932.8,False,43.8,284,1.7
121,0 days 02:02:00.298000,29.4,34.0,932.9,False,43.7,252,1.2
122,0 days 02:03:00.307000,29.4,35.0,932.8,False,43.7,168,0.5
123,0 days 02:04:00.303000,29.4,35.0,932.7,False,43.8,159,0.9
124,0 days 02:05:00.309000,29.6,35.0,932.7,False,45.0,139,1.1
126,0 days 02:07:00.310000,29.8,35.0,932.8,False,45.9,312,1.2
127,0 days 02:08:00.311000,30.0,34.0,932.8,False,45.5,306,2.0
128,0 days 02:09:00.305000,30.0,35.0,932.8,False,45.6,146,1.3
129,0 days 02:10:00.307000,30.0,33.0,932.9,False,46.2,99,0.9
130,0 days 02:11:00.305000,30.1,34.0,932.8,False,46.2,336,1.4
132,0 days 02:13:00.306000,30.0,34.0,932.8,False,46.2,214,1.7
133,0 days 02:14:00.305000,29.9,34.0,932.8,False,46.5,274,2.9
134,0 days 02:15:00.311000,29.9,34.0,932.8,False,46.0,257,3.3
135,0 days 02:16:00.314000,29.9,34.0,932.8,False,45.7,292,2.7
137,0 days 02:18:00.317000,29.8,35.0,932.7,False,44.3,149,2.1
138,0 days 02:19:00.317000,29.6,35.0,932.7,False,43.8,284,1.1
139,0 days 02:20:00.314000,29.6,34.0,932.8,False,43.8,248,1.2
55,0 days 00:55:59.997000,28.9,36.0,933.0,False,47.2,3,2.1
56,0 days 00:57:00.001000,28.9,36.0,933.0,False,47.3,268,1.7
58,0 days 00:59:00.019000,29.2,35.0,933.0,False,48.1,359,1.6
59,0 days 01:00:00.043000,29.3,35.0,932.9,False,48.1,120,0.7
60,0 days 01:01:00.046000,29.4,35.0,933.0,False,48.2,110,1.3
61,0 days 01:02:00.057000,29.5,35.0,932.9,False,48.2,31,2.0
62,0 days 01:03:00.074000,29.5,34.0,932.9,False,48.4,283,1.2
64,0 days 01:05:00.079000,29.5,35.0,932.9,False,48.7,292,1.5
65,0 days 01:06:00.072000,29.5,35.0,932.9,False,48.7,115,1.7
66,0 days 01:07:00.066000,29.6,35.0,932.9,False,48.7,113,1.1
67,0 days 01:08:00.101000,29.6,34.0,932.8,False,49.0,288,0.9
68,0 days 01:09:00.097000,29.7,34.0,932.8,False,48.7,43,2.4
70,0 days 01:11:00.135000,29.5,34.0,932.9,False,48.0,10,1.1
71,0 days 01:12:00.145000,29.6,34.0,932.9,False,48.1,119,1.6
72,0 days 01:13:00.140000,29.6,34.0,932.9,False,48.6,100,1.5
73,0 days 01:14:00.143000,29.6,33.0,932.8,False,48.2,1,1.5
75,0 days 01:16:00.142000,29.8,33.0,932.7,False,48.0,321,1.3
76,0 days 01:17:00.136000,29.8,34.0,932.9,False,47.8,353,1.8
77,0 days 01:18:00.167000,29.8,34.0,932.9,False,47.6,194,1.4
78,0 days 01:19:00.147000,29.7,35.0,932.9,False,47.8,41,1.2
79,0 days 01:20:00.151000,29.7,35.0,933.0,False,48.3,0,0.9
81,0 days 01:22:00.145000,29.6,35.0,932.9,False,48.2,271,2.0
82,0 days 01:23:00.153000,29.7,34.0,932.9,False,47.3,208,1.4
83,0 days 01:24:00.168000,29.8,35.0,932.9,False,47.3,58,0.9
84,0 days 01:25:00.151000,29.9,35.0,932.8,False,47.3,73,0.9
85,0 days 01:26:00.148000,30.0,35.0,932.8,False,46.9,326,1.1
86,0 days 01:27:00.145000,30.0,35.0,932.9,False,47.1,323,1.3
88,0 days 01:29:00.160000,30.0,35.0,933.0,False,46.5,280,1.8
89,0 days 01:30:00.154000,29.9,35.0,932.9,False,45.7,354,0.7
90,0 days 01:31:00.158000,29.8,35.0,932.9,False,45.0,283,1.3
91,0 days 01:32:00.161000,29.7,34.0,933.0,False,44.8,355,2.4
92,0 days 01:33:00.162000,29.6,36.0,933.0,False,44.8,319,1.5
94,0 days 01:35:00.160000,29.6,37.0,932.8,False,44.2,81,1.1
95,0 days 01:36:00.162000,29.6,36.0,932.9,False,44.3,91,1.0
96,0 days 01:37:00.167000,29.6,35.0,932.9,False,44.7,119,0.9
97,0 days 01:38:00.200000,29.6,35.0,932.9,False,45.0,274,1.4
99,0 days 01:40:00.182000,29.9,35.0,932.8,False,46.3,339,1.7
100,0 days 01:41:00.192000,30.0,35.0,932.8,False,47.3,284,1.6
101,0 days 01:42:00.215000,30.1,35.0,932.9,False,48.0,319,1.1
103,0 days 01:44:00.234000,30.3,33.0,932.9,False,47.7,303,0.8
104,0 days 01:45:00.230000,30.4,33.0,932.8,False,47.8,321,2.2
105,0 days 01:46:00.222000,30.5,32.0,932.8,False,48.0,306,1.4
106,0 days 01:47:00.225000,30.6,33.0,932.9,False,47.6,307,2.8
107,0 days 01:48:00.231000,30.4,33.0,932.8,False,46.2,244,1.9
108,0 days 01:49:00.221000,30.4,32.0,932.9,False,45.8,8,0.9
110,0 days 01:51:00.242000,30.0,33.0,932.9,False,44.6,199,2.3
111,0 days 01:52:00.235000,29.8,33.0,932.9,False,44.1,155,2.5
112,0 days 01:53:00.250000,29.5,33.0,932.9,False,44.9,60,1.2
113,0 days 01:54:00.264000,29.5,33.0,932.9,False,45.2,316,1.2
114,0 days 01:55:00.268000,29.5,33.0,932.8,False,45.5,82,0.9
116,0 days 01:57:00.269000,29.6,33.0,932.8,False,44.7,336,1.0
117,0 days 01:58:00.269000,29.6,33.0,932.9,False,44.5,177,1.4
118,0 days 01:59:00.287000,29.6,33.0,932.9,False,44.0,310,1.1
119,0 days 02:00:00.301000,29.5,33.0,932.9,False,43.9,282,0.9
120,0 days 02:01:00.297000,29.5,34.0,932.8,False,43.8,284,1.7
122,0 days 02:03:00.307000,29.4,35.0,932.8,False,43.7,168,0.5
123,0 days 02:04:00.303000,29.4,35.0,932.7,False,43.8,159,0.9
124,0 days 02:05:00.309000,29.6,35.0,932.7,False,45.0,139,1.1
125,0 days 02:06:00.303000,29.8,34.0,932.6,False,45.9,128,1.1
126,0 days 02:07:00.310000,29.8,35.0,932.8,False,45.9,312,1.2
128,0 days 02:09:00.305000,30.0,35.0,932.8,False,45.6,146,1.3
129,0 days 02:10:00.307000,30.0,33.0,932.9,False,46.2,99,0.9
130,0 days 02:11:00.305000,30.1,34.0,932.8,False,46.2,336,1.4
131,0 days 02:12:00.316000,30.0,35.0,932.9,False,46.5,321,1.2
132,0 days 02:13:00.306000,30.0,34.0,932.8,False,46.2,214,1.7
134,0 days 02:15:00.311000,29.9,34.0,932.8,False,46.0,257,3.3
135,0 days 02:16:00.314000,29.9,34.0,932.8,False,45.7,292,2.7
136,0 days 02:17:00.308000,29.8,34.0,932.9,False,45.1,274,3.6
138,0 days 02:19:00.317000,29.6,35.0,932.7,False,43.8,284,1.1
139,0 days 02:20:00.314000,29.6,34.0,932.8,False,43.8,248,1.2
55,0 days 00:55:59.997000,28.9,36.0,933.0,False,47.2,3,2.1
56,0 days 00:57:00.001000,28.9,36.0,933.0,False,47.3,268,1.7
58,0 days 00:59:00.019000,29.2,35.0,933.0,False,48.1,359,1.6
59,0 days 01:00:00.043000,29.3,35.0,932.9,False,48.1,120,0.7
60,0 days 01:01:00.046000,29.4,35.0,933.0,False,48.2,110,1.3
62,0 days 01:03:00.074000,29.5,34.0,932.9,False,48.4,283,1.2
63,0 days 01:04:00.068000,29.4,35.0,933.0,False,48.6,286,1.3
64,0 days 01:05:00.079000,29.5,35.0,932.9,False,48.7,292,1.5
65,0 days 01:06:00.072000,29.5,35.0,932.9,False,48.7,115,1.7
66,0 days 01:07:00.066000,29.6,35.0,932.9,False,48.7,113,1.1
68,0 days 01:09:00.097000,29.7,34.0,932.8,False,48.7,43,2.4
69,0 days 01:10:00.125000,29.6,34.0,932.9,False,48.2,308,1.1
70,0 days 01:11:00.135000,29.5,34.0,932.9,False,48.0,10,1.1
71,0 days 01:12:00.145000,29.6,34.0,932.9,False,48.1,119,1.6
73,0 days 01:14:00.143000,29.6,33.0,932.8,False,48.2,1,1.5
74,0 days 01:15:00.141000,29.7,34.0,932.8,False,48.1,14,1.6
75,0 days 01:16:00.142000,29.8,33.0,932.7,False,48.0,321,1.3
76,0 days 01:17:00.136000,29.8,34.0,932.9,False,47.8,353,1.8
77,0 days 01:18:00.167000,29.8,34.0,932.9,False,47.6,194,1.4
79,0 days 01:20:00.151000,29.7,35.0,933.0,False,48.3,0,0.9
80,0 days 01:21:00.153000,29.6,35.0,933.0,False,48.3,318,0.9
81,0 days 01:22:00.145000,29.6,35.0,932.9,False,48.2,271,2.0
83,0 days 01:24:00.168000,29.8,35.0,932.9,False,47.3,58,0.9
84,0 days 01:25:00.151000,29.9,35.0,932.8,False,47.3,73,0.9
85,0 days 01:26:00.148000,30.0,35.0,932.8,False,46.9,326,1.1
86,0 days 01:27:00.145000,30.0,35.0,932.9,False,47.1,323,1.3
87,0 days 01:28:00.147000,30.0,35.0,932.9,False,46.5,324,1.8
89,0 days 01:30:00.154000,29.9,35.0,932.9,False,45.7,354,0.7
90,0 days 01:31:00.158000,29.8,35.0,932.9,False,45.0,283,1.3
91,0 days 01:32:00.161000,29.7,34.0,933.0,False,44.8,355,2.4
92,0 days 01:33:00.162000,29.6,36.0,933.0,False,44.8,319,1.5
93,0 days 01:34:00.149000,29.5,36.0,932.8,False,44.3,343,1.5
95,0 days 01:36:00.162000,29.6,36.0,932.9,False,44.3,91,1.0
96,0 days 01:37:00.167000,29.6,35.0,932.9,False,44.7,119,0.9
97,0 days 01:38:00.200000,29.6,35.0,932.9,False,45.0,274,1.4
98,0 days 01:39:00.194000,29.8,34.0,932.8,False,46.0,331,1.2
99,0 days 01:40:00.182000,29.9,35.0,932.8,False,46.3,339,1.7
101,0 days 01:42:00.215000,30.1,35.0,932.9,False,48.0,319,1.1
102,0 days 01:43:00.266000,30.2,35.0,933.0,False,48.0,46,0.8
103,0 days 01:44:00.234000,30.3,33.0,932.9,False,47.7,303,0.8
104,0 days 01:45:00.230000,30.4,33.0,932.8,False,47.8,321,2.2
105,0 days 01:46:00.222000,30.5,32.0,932.8,False,48.0,306,1.4
107,0 days 01:48:00.231000,30.4,33.0,932.8,False,46.2,244,1.9
108,0 days 01:49:00.221000,30.4,32.0,932.9,False,45.8,8,0.9
109,0 days 01:50:00.231000,30.1,33.0,932.9,False,44.9,281,0.9
110,0 days 01:51:00.242000,30.0,33.0,932.9,False,44.6,199,2.3
111,0 days 01:52:00.235000,29.8,33.0,932.9,False,44.1,155,2.5
113,0 days 01:54:00.264000,29.5,33.0,932.9,False,45.2,316,1.2
114,0 days 01:55:00.268000,29.5,33.0,932.8,False,45.5,82,0.9
115,0 days 01:56:00.271000,29.6,33.0,932.9,False,45.5,227,1.0
117,0 days 01:58:00.269000,29.6,33.0,932.9,False,44.5,177,1.4
118,0 days 01:59:00.287000,29.6,33.0,932.9,False,44.0,310,1.1
119,0 days 02:00:00.301000,29.5,33.0,932.9,False,43.9,282,0.9
120,0 days 02:01:00.297000,29.5,34.0,932.8,False,43.8,284,1.7
121,0 days 02:02:00.298000,29.4,34.0,932.9,False,43.7,252,1.2
122,0 days 02:03:00.307000,29.4,35.0,932.8,False,43.7,168,0.5
124,0 days 02:05:00.309000,29.6,35.0,932.7,False,45.0,139,1.1
125,0 days 02:06:00.303000,29.8,34.0,932.6,False,45.9,128,1.1
126,0 days 02:07:00.310000,29.8,35.0,932.8,False,45.9,312,1.2
127,0 days 02:08:00.311000,30.0,34.0,932.8,False,45.5,306,2.0
128,0 days 02:09:00.305000,30.0,35.0,932.8,False,45.6,146,1.3
130,0 days 02:11:00.305000,30.1,34.0,932.8,False,46.2,336,1.4
131,0 days 02:12:00.316000,30.0,35.0,932.9,False,46.5,321,1.2
132,0 days 02:13:00.306000,30.0,34.0,932.8,False,46.2,214,1.7
134,0 days 02:15:00.311000,29.9,34.0,932.8,False,46.0,257,3.3
135,0 days 02:16:00.314000,29.9,34.0,932.8,False,45.7,292,2.7
136,0 days 02:17:00.308000,29.8,34.0,932.9,False,45.1,274,3.6
137,0 days 02:18:00.317000,29.8,35.0,932.7,False,44.3,149,2.1
138,0 days 02:19:00.317000,29.6,35.0,932.7,False,43.8,284,1.1
55,0 days 00:55:59.997000,28.9,36.0,933.0,False,47.2,3,2.1
56,0 days 00:57:00.001000,28.9,36.0,933.0,False,47.3,268,1.7
57,0 days 00:58:00.006000,29.0,36.0,932.8,False,47.4,29,1.8
59,0 days 01:00:00.043000,29.3,35.0,932.9,False,48.1,120,0.7
60,0 days 01:01:00.046000,29.4,35.0,933.0,False,48.2,110,1.3
61,0 days 01:02:00.057000,29.5,35.0,932.9,False,48.2,31,2.0
62,0 days 01:03:00.074000,29.5,34.0,932.9,False,48.4,283,1.2
63,0 days 01:04:00.068000,29.4,35.0,933.0,False,48.6,286,1.3
64,0 days 01:05:00.079000,29.5,35.0,932.9,False,48.7,292,1.5
66,0 days 01:07:00.066000,29.6,35.0,932.9,False,48.7,113,1.1
67,0 days 01:08:00.101000,29.6,34.0,932.8,False,49.0,288,0.9
68,0 days 01:09:00.097000,29.7,34.0,932.8,False,48.7,43,2.4
69,0 days 01:10:00.125000,29.6,34.0,932.9,False,48.2,308,1.1
70,0 days 01:11:00.135000,29.5,34.0,932.9,False,48.0,10,1.1
72,0 days 01:13:00.140000,29.6,34.0,932.9,False,48.6,100,1.5
73,0 days 01:14:00.143000,29.6,33.0,932.8,False,48.2,1,1.5
74,0 days 01:15:00.141000,29.7,34.0,932.8,False,48.1,14,1.6
75,0 days 01:16:00.142000,29.8,33.0,932.7,False,48.0,321,1.3
76,0 days 01:17:00.136000,29.8,34.0,932.9,False,47.8,353,1.8
77,0 days 01:18:00.167000,29.8,34.0,932.9,False,47.6,194,1.4
79,0 days 01:20:00.151000,29.7,35.0,933.0,False,48.3,0,0.9
80,0 days 01:21:00.153000,29.6,35.0,933.0,False,48.3,318,0.9
81,0 days 01:22:00.145000,29.6,35.0,932.9,False,48.2,271,2.0
82,0 days 01:23:00.153000,29.7,34.0,932.9,False,47.3,208,1.4
84,0 days 01:25:00.151000,29.9,35.0,932.8,False,47.3,73,0.9
85,0 days 01:26:00.148000,30.0,35.0,932.8,False,46.9,326,1.1
86,0 days 01:27:00.145000,30.0,35.0,932.9,False,47.1,323,1.3
87,0 days 01:28:00.147000,30.0,35.0,932.9,False,46.5,324,1.8
88,0 days 01:29:00.160000,30.0,35.0,933.0,False,46.5,280,1.8
90,0 days 01:31:00.158000,29.8,35.0,932.9,False,45.0,283,1.3
91,0 days 01:32:00.161000,29.7,34.0,933.0,False,44.8,355,2.4
92,0 days 01:33:00.162000,29.6,36.0,933.0,False,44.8,319,1.5
93,0 days 01:34:00.149000,29.5,36.0,932.8,False,44.3,343,1.5
94,0 days 01:35:00.160000,29.6,37.0,932.8,False,44.2,81,1.1
95,0 days 01:36:00.162000,29.6,36.0,932.9,False,44.3,91,1.0
97,0 days 01:38:00.200000,29.6,35.0,932.9,False,45.0,274,1.4
98,0 days 01:39:00.194000,29.8,34.0,932.8,False,46.0,331,1.2
99,0 days 01:40:00.182000,29.9,35.0,932.8,False,46.3,339,1.7
100,0 days 01:41:00.192000,30.0,35.0,932.8,False,47.3,284,1.6
101,0 days 01:42:00.215000,30.1,35.0,932.9,False,48.0,319,1.1
102,0 days 01:43:00.266000,30.2,35.0,933.0,False,48.0,46,0.8
104,0 days 01:45:00.230000,30.4,33.0,932.8,False,47.8,321,2.2
105,0 days 01:46:00.222000,30.5,32.0,932.8,False,48.0,306,1.4
106,0 days 01:47:00.225000,30.6,33.0,932.9,False,47.6,307,2.8
107,0 days 01:48:00.231000,30.4,33.0,932.8,False,46.2,244,1.9
108,0 days 01:49:00.221000,30.4,32.0,932.9,False,45.8,8,0.9
109,0 days 01:50:00.231000,30.1,33.0,932.9,False,44.9,281,0.9
111,0 days 01:52:00.235000,29.8,33.0,932.9,False,44.1,155,2.5
112,0 days 01:53:00.250000,29.5,33.0,932.9,False,44.9,60,1.2
113,0 days 01:54:00.264000,29.5,33.0,932.9,False,45.2,316,1.2
114,0 days 01:55:00.268000,29.5,33.0,932.8,False,45.5,82,0.9
115,0 days 01:56:00.271000,29.6,33.0,932.9,False,45.5,227,1.0
117,0 days 01:58:00.269000,29.6,33.0,932.9,False,44.5,177,1.4
118,0 days 01:59:00.287000,29.6,33.0,932.9,False,44.0,310,1.1
119,0 days 02:00:00.301000,29.5,33.0,932.9,False,43.9,282,0.9
120,0 days 02:01:00.297000,29.5,34.0,932.8,False,43.8,284,1.7
121,0 days 02:02:00.298000,29.4,34.0,932.9,False,43.7,252,1.2
123,0 days 02:04:00.303000,29.4,35.0,932.7,False,43.8,159,0.9
124,0 days 02:05:00.309000,29.6,35.0,932.7,False,45.0,139,1.1
125,0 days 02:06:00.303000,29.8,34.0,932.6,False,45.9,128,1.1
126,0 days 02:07:00.310000,29.8,35.0,932.8,False,45.9,312,1.2
127,0 days 02:08:00.311000,30.0,34.0,932.8,False,45.5,306,2.0
128,0 days 02:09:00.305000,30.0,35.0,932.8,False,45.6,146,1.3
130,0 days 02:11:00.305000,30.1,34.0,932.8,False,46.2,336,1.4
